original_user_id,new_user_id
27,1192
1098,1193
204,1194
6072,1195
2447,1196
409,1197
5087,1198
227,1199
4925,1200
4363,1201
413,1202
91,1203
1499,1204
1389,1205
1368,1206
696,1207
2685,1208
2680,1209
2929,1210
5689,1211
1158,1212
48,1213
5836,1214
4256,1215
2766,1216
3969,1217
1828,1218
2801,1219
5276,1220
4585,1221
3207,1222
1194,1223
2434,1224
5213,1225
5176,1226
2803,1227
5165,1228
3473,1229
2560,1230
1948,1231
110,1232
1986,1233
294,1234
691,1235
1648,1236
1859,1237
4617,1238
4031,1239
2390,1240
32,1241
5732,1242
5016,1243
3633,1244
3176,1245
1104,1246
5015,1247
2051,1248
4141,1249
516,1250
4193,1251
1112,1252
5314,1253
6011,1254
2140,1255
3894,1256
4074,1257
3258,1258
4153,1259
3480,1260
2307,1261
5900,1262
5374,1263
2783,1264
3998,1265
3568,1266
4420,1267
4737,1268
396,1269
1916,1270
2543,1271
3713,1272
2586,1273
4215,1274
19,1275
2896,1276
2495,1277
3259,1278
1817,1279
569,1280
1445,1281
1284,1282
1795,1283
94,1284
1778,1285
1558,1286
700,1287
3324,1288
287,1289
4712,1290
565,1291
589,1292
1355,1293
1535,1294
3759,1295
2168,1296
3727,1297
1903,1298
5178,1299
2688,1300
224,1301
5466,1302
4893,1303
368,1304
572,1305
1211,1306
916,1307
3133,1308
5051,1309
3549,1310
1087,1311
3299,1312
2753,1313
5216,1314
6086,1315
4690,1316
395,1317
2844,1318
5477,1319
5106,1320
4698,1321
4979,1322
5400,1323
42,1324
6021,1325
2604,1326
858,1327
5604,1328
464,1329
2040,1330
3770,1331
2348,1332
3758,1333
2219,1334
1893,1335
783,1336
4994,1337
5875,1338
371,1339
4208,1340
5136,1341
3284,1342
821,1343
915,1344
6050,1345
1861,1346
2533,1347
3654,1348
3451,1349
3775,1350
1834,1351
1604,1352
5804,1353
1659,1354
5895,1355
4699,1356
3597,1357
581,1358
991,1359
848,1360
2762,1361
2449,1362
4286,1363
3587,1364
4414,1365
2165,1366
123,1367
3440,1368
784,1369
902,1370
5674,1371
1177,1372
3260,1373
5602,1374
690,1375
3704,1376
2992,1377
1864,1378
1292,1379
3014,1380
3415,1381
2350,1382
5548,1383
71,1384
5601,1385
2718,1386
4567,1387
2408,1388
4284,1389
196,1390
3536,1391
5752,1392
4236,1393
6069,1394
4685,1395
628,1396
4080,1397
2190,1398
3369,1399
4304,1400
958,1401
6033,1402
319,1403
5559,1404
1484,1405
3358,1406
3582,1407
2206,1408
238,1409
2002,1410
541,1411
601,1412
825,1413
5375,1414
52,1415
3539,1416
3924,1417
300,1418
2832,1419
419,1420
4138,1421
4651,1422
2572,1423
4344,1424
1503,1425
26,1426
5753,1427
4645,1428
3771,1429
2658,1430
5580,1431
2268,1432
6000,1433
3407,1434
3558,1435
3397,1436
4907,1437
634,1438
5244,1439
2564,1440
1837,1441
4867,1442
2524,1443
823,1444
5359,1445
4168,1446
2689,1447
2411,1448
2373,1449
921,1450
1956,1451
5291,1452
5079,1453
4825,1454
3112,1455
5906,1456
4953,1457
136,1458
4370,1459
1755,1460
1798,1461
4122,1462
4163,1463
92,1464
450,1465
5706,1466
1336,1467
4531,1468
2966,1469
2287,1470
5790,1471
3751,1472
1667,1473
5368,1474
4778,1475
3078,1476
3954,1477
2517,1478
3922,1479
5860,1480
3351,1481
3256,1482
2711,1483
391,1484
1354,1485
1928,1486
2965,1487
392,1488
4322,1489
1472,1490
5118,1491
5616,1492
3393,1493
3767,1494
5102,1495
2629,1496
309,1497
1442,1498
4610,1499
1440,1500
5438,1501
5549,1502
5464,1503
5386,1504
3892,1505
1178,1506
3015,1507
5286,1508
4062,1509
5751,1510
306,1511
3667,1512
5504,1513
4738,1514
4562,1515
2913,1516
3653,1517
779,1518
5543,1519
4095,1520
63,1521
4116,1522
5805,1523
146,1524
6009,1525
5699,1526
3396,1527
5818,1528
3501,1529
2761,1530
1398,1531
3605,1532
2105,1533
5468,1534
2355,1535
2527,1536
5257,1537
2286,1538
5156,1539
5306,1540
1304,1541
2047,1542
4405,1543
1413,1544
4657,1545
3482,1546
4361,1547
2683,1548
3036,1549
4398,1550
3008,1551
406,1552
5394,1553
4091,1554
2925,1555
3089,1556
5853,1557
329,1558
2382,1559
2347,1560
4391,1561
2272,1562
1863,1563
4523,1564
1049,1565
854,1566
5652,1567
1579,1568
4815,1569
1498,1570
3492,1571
4881,1572
3489,1573
268,1574
3842,1575
4852,1576
4464,1577
2919,1578
